plan_id,プラン名,工事内容,HS基準価格_円,相場_最小_円,相場_最大_円,区分1_個人業者_最小,区分1_個人業者_最大,区分2_中小工務店_最小,区分2_中小工務店_最大,区分3_人気工務店_最小,区分3_人気工務店_最大,区分4_大手リフォーム_最小,区分4_大手リフォーム_最大,耐用年数,補助金額_円,保証年数
KIT-I-STD,スタンダードI型・同位置交換,シエラS 最安構成 2550mm、本体のみ交換,700000,500000,800000,665000,686000,700000,721000,735000,770000,784000,826000,,,
KIT-I-MID,ミドルI型・同位置交換（HS推奨）,LIXIL シエラS標準 / TOTO ミッテ / Panasonic Vスタイル、2550mm,1296000,800000,1300000,1231000,1270000,1296000,1335000,1361000,1426000,1452000,1529000,,,
KIT-L-MID,ミドルL型・同位置交換,L型ミドルグレード、コーナー活用、2400x1650,1400000,900000,1500000,1330000,1372000,1400000,1442000,1470000,1540000,1568000,1652000,,,
KIT-PNS,ペニンシュラ化（壁付け→対面式）,ミドルグレード＋配管移設＋床全面張替え,1800000,1300000,2000000,1710000,1764000,1800000,1854000,1890000,1980000,2016000,2124000,,,
KIT-ISL,ハイグレード・アイランド,リシェル/ザ・クラッソ/セントロ最上位、アイランド型,3000000,2000000,4000000,2850000,2940000,3000000,3090000,3150000,3300000,3360000,3540000,,,
KIT-FULL,フル改装：位置大幅変更,部屋全体レイアウト変更、配管全移設、内装全交換,2500000,1800000,3000000,2375000,2450000,2500000,2575000,2625000,2750000,2800000,2950000,,,
