plan_id,プラン名,工事内容,HS基準価格_円,相場_最小_円,相場_最大_円,区分1_個人業者_最小,区分1_個人業者_最大,区分2_中小工務店_最小,区分2_中小工務店_最大,区分3_人気工務店_最小,区分3_人気工務店_最大,区分4_大手リフォーム_最小,区分4_大手リフォーム_最大,耐用年数,補助金額_円,保証年数
BATH-UB-STD,UB→UB・標準グレード交換（最シンプル）,LIXIL アライズ 1616、既存UB撤去→新設、窓そのまま,1100000,800000,1200000,1045000,1078000,1100000,1133000,1155000,1210000,1232000,1298000,,,
BATH-UB-PRM,UB→UB・上位グレード交換,TOTO サザナP or シンラ 1616、既存UB撤去→新設,1800000,1300000,2000000,1710000,1764000,1800000,1854000,1890000,1980000,2016000,2124000,,,
BATH-ZAI-BS,在来→UB・標準（窓カバー工法）HS推奨,アライズ/サザナN 1616、在来解体、土間打ち、窓カバー工法,1944000,1200000,1700000,1847000,1905000,1944000,2002000,2041000,2138000,2177000,2294000,,,
BATH-ZAI-FW,在来→UB・窓サイズ変更＋外壁工事,アライズ 1616＋窓縮小＋外壁サイディング一部張替え,2300000,1700000,2500000,2185000,2254000,2300000,2369000,2415000,2530000,2576000,2714000,,,
BATH-ZAI-RT,在来→UB・土台腐食/シロアリ対応込み（築古）,標準UB＋土台交換＋シロアリ駆除,2500000,1800000,2800000,2375000,2450000,2500000,2575000,2625000,2750000,2800000,2950000,,,
BATH-PRM-SPA,最上位・ホテルライク,スパージュ/シンラ 1620、フル装備、在来→UB,3800000,2800000,4500000,3610000,3724000,3800000,3914000,3990000,4180000,4256000,4484000,,,
