plan_id,プラン名,工事内容,HS基準価格_円,相場_最小_円,相場_最大_円,区分1_個人業者_最小,区分1_個人業者_最大,区分2_中小工務店_最小,区分2_中小工務店_最大,区分3_人気工務店_最小,区分3_人気工務店_最大,区分4_大手リフォーム_最小,区分4_大手リフォーム_最大,耐用年数,補助金額_円,保証年数
WH-GAS-CV,従来型ガス給湯器 24号 交換,ノーリツ GT-2472AW、既存撤去→新設,180000,120000,200000,171000,176000,180000,185000,189000,198000,202000,212000,,0,
WH-GAS-EJ,エコジョーズ 24号 交換,ノーリツ GT-C2472AW BL、省エネ20%UP,250000,150000,280000,238000,245000,250000,258000,262000,275000,280000,295000,,0,
WH-EC-370,エコキュート 370L 標準交換,三菱 SRT-S377U or ダイキン EQ37ZFTV,850000,400000,600000,808000,833000,850000,876000,892000,935000,952000,1003000,,100000,
WH-EC-460,エコキュート 460L 標準交換（戸建推奨）,三菱 SRT-S467U、フルオート標準,1014000,450000,700000,963000,994000,1014000,1044000,1065000,1115000,1136000,1197000,,100000,
WH-EC-460H,エコキュート 460L ハイグレード,三菱 SRT-S467UA or ダイキン EQ46ZFTV(X),1250000,600000,900000,1188000,1225000,1250000,1288000,1312000,1375000,1400000,1475000,,100000,
WH-NEW-G2E,ガス→エコキュート新設（大型工事）,既存ガス給湯器撤去+エコキュート新設+基礎工事+200V工事,1200000,550000,850000,1140000,1176000,1200000,1236000,1260000,1320000,1344000,1416000,,100000,
WH-HYBRID,ハイブリッド給湯器,ノーリツ ハイブリッドGTH or リンナイ RUFH-E,1000000,500000,800000,950000,980000,1000000,1030000,1050000,1100000,1120000,1180000,,130000,
