plan_id,プラン名,工事内容,HS基準価格_円,相場_最小_円,相場_最大_円,区分1_個人業者_最小,区分1_個人業者_最大,区分2_中小工務店_最小,区分2_中小工務店_最大,区分3_人気工務店_最小,区分3_人気工務店_最大,区分4_大手リフォーム_最小,区分4_大手リフォーム_最大,耐用年数,補助金額_円,保証年数
WIN-IW-K,内窓1箇所・腰窓（Sグレード）,LIXIL インプラス 170x120 Low-E複層ガラス・アルゴンガス入り,240000,60000,250000,228000,235000,240000,247000,252000,264000,269000,283000,,34000,
WIN-IW-H,内窓1箇所・掃き出し窓（Sグレード）,LIXIL インプラス 170x200 Low-E複層ガラス・アルゴンガス入り,496000,100000,400000,471000,486000,496000,511000,521000,546000,556000,585000,,52000,
WIN-IW-6,内窓・家全体6箇所（HS最推奨・Sグレード）,掃き出し3+腰窓3、Sグレード、Low-E複層ガラス・アルゴンガス入り,1462000,900000,1500000,1389000,1433000,1462000,1506000,1535000,1608000,1637000,1725000,,258000,
WIN-CV-K,外窓カバー工法1箇所・腰窓（Sグレード）,YKK AP マドリモ断熱窓 170x120 Sグレード,270000,150000,400000,256000,265000,270000,278000,284000,297000,302000,319000,,92000,
WIN-CV-H,外窓カバー工法1箇所・掃き出し（Sグレード）,YKK AP マドリモ断熱窓 170x200 Sグレード,360000,250000,500000,342000,353000,360000,371000,378000,396000,403000,425000,,124000,
WIN-CV-6,カバー工法・家全体6箇所（Sグレード）,掃き出し3+腰窓3、Sグレード、YKK AP マドリモ,1890000,1500000,2200000,1795000,1852000,1890000,1947000,1985000,2079000,2117000,2230000,,648000,
WIN-GL-10,全窓ガラス交換（真空ガラス・Sグレード）,AGC 真空ガラス スペーシア 10箇所,960000,500000,1500000,912000,941000,960000,989000,1008000,1056000,1075000,1133000,,230000,
WIN-HT-6,はつり工法・全窓完全交換（Sグレード）,壁壊して枠ごと新規・外壁復旧込み・6箇所,3500000,1500000,4000000,3325000,3430000,3500000,3605000,3675000,3850000,3920000,4130000,,480000,
