plan_id,プラン名,工事内容,HS基準価格_円,相場_最小_円,相場_最大_円,区分1_個人業者_最小,区分1_個人業者_最大,区分2_中小工務店_最小,区分2_中小工務店_最大,区分3_人気工務店_最小,区分3_人気工務店_最大,区分4_大手リフォーム_最小,区分4_大手リフォーム_最大,耐用年数,補助金額_円,保証年数
ROOF-PT-SI,屋根塗装：シリコン,スレート塗装・棟板金塗装・縁切り,290000,200000,500000,190000,343000,200000,360500,210000,385000,224000,413000,10,,
ROOF-PT-FL,屋根塗装：フッ素,スレート塗装・棟板金交換・縁切り,420000,350000,500000,332500,490000,350000,515000,367500,550000,392000,590000,18,,
ROOF-CV-GL,カバー工法：ガルバリウム標準,スレート既存→スーパーガルテクト等ガルバ重ね葺き,1000000,800000,1200000,760000,1176000,800000,1236000,840000,1320000,896000,1416000,30,,
ROOF-CV-SGL,カバー工法：SGL鋼板・断熱材一体型,SGL断熱一体型ガルバ,1500000,1300000,1800000,1235000,1764000,1300000,1854000,1365000,1980000,1456000,2124000,35,,
ROOF-RP-SG,葺き替え：スレート→ガルバリウム,既存スレート撤去→野地板増し張り→ルーフィング→ガルバ新設,1500000,1200000,1800000,1140000,1764000,1200000,1854000,1260000,1980000,1344000,2124000,30,,
ROOF-RP-TG,葺き替え：瓦→ガルバリウム（軽量化）,既存瓦撤去（処分費大）→野地板→ガルバ新設,1800000,1500000,2200000,1425000,2156000,1500000,2266000,1575000,2420000,1680000,2596000,30,,
ROOF-PR-MB,部分補修：棟板金交換のみ,棟板金16m交換+貫板交換,150000,80000,200000,76000,196000,80000,206000,84000,220000,89600,236000,0,,
ROOF-PR-SK,部分補修：漆喰補修,棟漆喰詰め直し15m,90000,50000,150000,47500,147000,50000,154500,52500,165000,56000,177000,0,,
